id_municipio;municipio
790;IGREJINHA
791;GRAMADO
792;CANAVIEIRAS
793;SANTO AMARO
794;PARANAGUA
795;PICARRA
796;OCARA
797;ITAMBE
798;AVARE
799;ITU
800;SAO SEBASTIAO DO PARAISO
801;UBAI
802;SAO SEBASTIAO DO MARANHAO
803;BOM JESUS DA LAPA
804;DIVINOPOLIS
805;RONDON
806;MARILANDIA DO SUL
807;CANINDE
808;BREJETUBA
809;ITAPORANGA
810;SANTA ISABEL
811;POA
812;PANORAMA
813;PARAGUACU PAULISTA
814;JACIARA
815;CARAPICUIBA
816;SAO JOSE DO VALE DO RIO PRETO
817;GANDU
818;ALTO ALEGRE DOS PARECIS
819;SAO MIGUEL DO GUAPORE
820;JANDIRA
821;ITAPEVI
822;NOSSA SENHORA DAS DORES
823;SALINAS
824;PAI PEDRO
825;CORACAO DE JESUS
826;CORONEL MURTA
827;PRAIA GRANDE
828;UBA
829;DIVINESIA
830;RIO BONITO DO IGUACU
831;CASTRO
832;MARIANA
833;LONTRA
834;TAIOBEIRAS
835;FRANCISCO SA
836;CAPITAO ENEAS
837;PARAUAPEBAS
838;JERONIMO MONTEIRO
839;FOZ DO IGUACU
840;FAGUNDES
841;SAO VICENTE DO SERIDO
842;MONTEIRO
843;MACAE
844;AGUIARNOPOLIS
845;ITINGA DO MARANHAO
846;ANTONINA
847;VARGEM ALEGRE
848;GURUPI
849;TORRES
850;BALSA NOVA
851;SANTA ROSA DO SUL
852;PIEDADE DE CARATINGA
853;ARES
854;AGRESTINA
855;PALMEIRA DAS MISSOES
856;NOVA BRASILANDIA D OESTE
857;ENVIRA
858;RIBEIRAO PIRES
859;CAPAO BONITO
860;SAPIRANGA
861;BELA CRUZ
862;AGUAS VERMELHAS
863;ITUACU
864;TURVO
865;SAO JOAQUIM DA BARRA
866;SANTA GERTRUDES
867;ITABORAI
868;LAPA
869;PINHAIS
870;GRAO PARA
871;TUBARAO
872;ITUBERA
873;JACUNDA
874;HULHA NEGRA
875;QUERENCIA DO NORTE
876;SAO FRANCISCO DO GUAPORE
877;CARMO DO PARANAIBA
878;PAULINIA
879;DESTERRO
880;AREIA
881;SENADOR JOSE BENTO
882;GUARACIAMA
883;BUTIA
884;VALENTIM GENTIL
885;PONTALINDA
886;OSVALDO CRUZ
887;TANHACU
888;PIATA
889;PARACAMBI
890;PATY DO ALFERES
891;SANTA IZABEL DO OESTE
892;FREI INOCENCIO
893;NACIP RAYDAN
894;ESPIRITO SANTO DO PINHAL
895;SANTO ANTONIO DO JARDIM
896;TAPIRATIBA
897;CASCAVEL
898;DONA EUSEBIA
899;GUIDOVAL
900;VISCONDE DO RIO BRANCO
901;DORES DO TURVO
902;CAMPINA DO SIMAO
903;PINHAO
904;OURO PRETO
905;HELIOPOLIS
906;ANDRADINA
907;MUCAJAI
908;PICARRAS
909;CRUZEIRO DO SUL
910;ITAJUBA
911;SENTINELA DO SUL
912;SERRANA
913;BRANQUINHA
914;SATUBA
915;MOZARLANDIA
916;PASSOS
917;PALMEIRANDIA
918;ALCANTARA
919;MAURITI
920;CAMPOS SALES
921;DOIS VIZINHOS
922;TRAMANDAI
923;ARACARIGUAMA
924;ENEAS MARQUES
925;UBERLANDIA
926;SANTA FILOMENA
927;SENADOR GUIOMARD
928;BAURU
929;MIGUELOPOLIS
930;FLORES DO PIAUI
931;ESTREITO
932;AUGUSTINOPOLIS
933;SITIO NOVO
934;SITIO NOVO DO TOCANTINS
935;PAULO RAMOS
936;MOCOCA
937;PRESIDENTE OLEGARIO
938;SEVERINIA
939;CONEGO MARINHO
940;MATINHOS
